"PointID","x","y","z"
13006, 2.249396164123645e+01, 3.216513755084780e+00, 6.821439924683654e-01
13007, 2.204500901551801e+01, 1.834364621257401e+00, -1.392960425547267e+00
13008, 2.230257014649073e+01, 1.833130610116241e+00, -1.379693371601658e+00
13009, 2.229259093628787e+01, 1.992343884302868e+00, -1.174434038644969e+00
13010, 2.203533167740040e+01, 1.993761814184210e+00, -1.187829589124611e+00
13011, 2.220032518180015e+01, 3.860936495633618e+00, 1.903661325734229e+00
13012, 2.213713271424498e+01, 3.879683082973467e+00, 1.943621932217257e+00
13013, 2.210305614082034e+01, 3.858789692097107e+00, 1.892974237166002e+00
13014, 2.216140149198597e+01, 3.840724189898166e+00, 1.855226677719436e+00
13015, 2.159452266106496e+01, 3.820132064953028e+00, 1.774802156840158e+00
13016, 2.160718096708163e+01, 3.817562349297882e+00, 1.769893592333990e+00
13017, 2.160666114526972e+01, 3.823808289968976e+00, 1.783726417859329e+00
13018, 1.824072949917516e+01, 2.992205889036972e+00, 5.672247008244938e-02
